country,country_name,oecd_member,eu_member,election_date,party,party_name,party_abbrev,party_fam,percent_vote,absol_seats,total_seats,percent_uncoded,bonds_positive,bonds_negative,anti_imperialism,milit_positive,milit_negative,peace,intl_positive,ec_eu_positive,intl_negative,ec_eu_negative,freedom_hr,democracy,constit_positive,constit_negative,decentralize,centralize,gvmt_efficiency,corruption,polit_authority,free_market,incentives,regulation,econ_planning,state_collab,protect_positive,protect_negative,econ_goals,demand_side,econ_growth,infrastruct_tech,controlled_econ,nationalization,econ_orthodoxy,marxism,anti_growth,environ,culture,equality,welfare_state,welfare_less,education,education_less,nation_positive,nation_negative,moralism,moralism_negative,law_and_order,civic_mind,multiculture,multiculture_negative,labor_positive,labor_negative,agriculture,white_collar,marginalized_general,demographic_groups,axis_position,plan_eco,mark_eco,welfare,int_peace
11,Sweden,Non-member,Non-member,1944-09-17,11220,Communist Party of Sweden,SKP,Leftist,10.3,15,230,NA,1.9,0,0,0,0,1.9,0,0,0,0,9.6,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,1.9,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,1.9,1.9,0,1.9
11,Sweden,Non-member,Non-member,1944-09-17,11320,Social Democratic Labour Party,SAP,Social Democratic,46.5,115,230,NA,1.1,0,0,2.2,0,5.600000000000001,4.4,0,0,0,3.3,1.1,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,11.1,0,3.3,0,0,0,2.2,0,0,0,0,5.600000000000001,27.8,0,3.3,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,1.1,-37.8,3.3,2.2,33.4,5.600000000000001
11,Sweden,Non-member,Non-member,1944-09-17,11420,People’s Party,FP,Liberal,12.9,26,230,NA,3.2,0,0,7.9,0,1.6,3.2,0,0,0,12.7,6.4,0,0,3.2,0,1.6,0,0,6.4,3.2,1.6,1.6,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,1.6,12.7,0,4.8,0,0,0,6.4,0,0,4.8,4.8,0,0,0,4.8,0,0,0,9.5,3.2,6.4,14.3,1.6
11,Sweden,Non-member,Non-member,1944-09-17,11620,Right Party,NA,Conservative,15.8,39,230,NA,1.8,0,0,1.8,0,0,3.5,0,0,0,7,0,0,0,1.8,0,1.8,0,0,17.5,0,1.8,0,0,0,0,1.8,0,0,0,0,0,5.3,0,0,0,0,5.3,5.3,0,7,0,3.5,0,10.5,0,0,0,0,0,0,0,3.5,8.8,0,3.5,28,1.8,22.8,10.6,0
11,Sweden,Non-member,Non-member,1944-09-17,11810,Agrarian Party,NA,Agrarian,13.6,35,230,42.857,0,0,0,4.762,0,4.762,0,0,0,0,0,0,0,0,0,0,0,0,0,9.524,0,0,0,0,0,0,0,0,0,0,0,0,9.524,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,0,0,0,0,23.81,0,0,0,23.81,0,19.048,0,4.762
11,Sweden,Non-member,Non-member,1948-09-19,11220,Communist Party of Sweden,SKP,Leftist,6.312,8,230,NA,2,0,10,0,0,10,0,0,0,0,4,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,2,0,0,0,0,6,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,-44,8,2,18,10
11,Sweden,Non-member,Non-member,1948-09-19,11320,Social Democratic Labour Party,SAP,Social Democratic,46.132,112,230,NA,0.8,0,0,0,0,1.7,1.7,0.8,0,0,1.7,5,0,0,0,0,0,0,0,3.3,0,4.2,0,3.3,0,0,8.3,0,2.5,0,2.5,0,2.5,0,0,0,3.3,2.5,18.3,0,7.5,0,0,0,0,0,0,0,0.8,0,0,0,19.2,0,0,0.8,-33.4,6.7,5.8,20.8,1.7
11,Sweden,Non-member,Non-member,1948-09-19,11420,People’s Party,FP,Liberal,22.749,57,230,NA,2.3,0,0,1.2,1.2,3.4,1.2,2.3,0,0,13.8,3.4,0,0,0,0,1.2,0,0,10.3,3.4,2.3,0,0,0,0,3.4,0,1.2,0,0,0,3.4,0,0,0,0,5.8,1.2,1.2,3.4,0,0,0,2.3,0,0,3.4,2.3,0,0,0,3.4,0,0,2.3,22.9,2.3,13.7,7,4.600000000000001
11,Sweden,Non-member,Non-member,1948-09-19,11620,Right Party,NA,Conservative,12.343,23,230,NA,0,0,0,3.1,0,3.1,0,0,0,0,9.4,3.1,0,0,3.1,0,15.6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6.3,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3,0,50,0,3.1
11,Sweden,Non-member,Non-member,1948-09-19,11810,Agrarian Party,NA,Agrarian,12.385,30,230,NA,0.7000000000000001,0,0,2.9,0,0.7000000000000001,0,0.7000000000000001,0,0,1.4,2.1,0,0,0,0,2.9,0,0,7.100000000000001,1.4,1.4,0,0,2.1,0,2.9,0,0,4.3,2.1,0,2.1,0,0,0,0,2.1,11.4,0,5.7,0,1.4,0,3.6,0,0,0.7000000000000001,1.4,0,0,0,31.4,0,0,1.4,-4.9,3.5,9.2,13.5,0.7000000000000001
